Engineering Foundation
Vv116/156/186,"Calculus II/
Honors Calculus II /
Honors Math II",⎯,⎯,4,,
Vv215/255/285,"Calculus III/
Honors Calculus III /
Honors Math III",Vv116/156/186,⎯,4,,
Vv216/256/286,"Calculus IV/
Honors Calculus IV/
Honors Math IV",Vv215/255/285,⎯,4,,
Ve203,Discrete Mathematics,Vv116/156/186,⎯,4,,
Vg100,Intro to Engr.,⎯,⎯,4,,
Vg101,Intro to Comp.,⎯,⎯,4,,
Vc210,Chemistry,⎯,⎯,4,,
Vc211,Chemistry Lab,⎯,⎯,1,,
Vp140/160,Physics I,⎯,⎯,4,,
Vp240/260,Physics II,Vp140/160,⎯,4,,
Vp141,Physics Lab I,⎯,Vp140/160,1,,
Vp241,Physics Lab II,⎯,Vp240/260,1,,
Intellectual Breadth                                           ,,,,completed crs:,,0
Vg496,Ethics & Professionalism,Vg100,⎯,2,,if
Program Subject
Ve215,Intro to Circuits,"Vv156/186, Vg101",Vp240/260,4,,
Ve216,Signal and Systems I,"Ve215, Vv256/286",or Vv256/286,4,,
Ve280,Prog. & Data Structure,"Vv156/186,Vg101",⎯,4,,
Ve230,Electromagnetics I,"Vv255/285, Vp240/260, Ve215",⎯,4,,
Ve270,Intro to Logic Design,Vg101 or equivalent,⎯,4,,
Ve311,Electronic Circuits,Ve216,⎯,4,,
Ve320,Semiconductor Dev. Theo.,"Ve215, Vp240/260",⎯,4,,
Ve370,Intro to Comp. Org.,"Ve270, Ve280",⎯,4,,
Ve300,Technical Communication,Vg100,⎯,1,,
Ve401,Probablistic Meth. in Engr.,"Vv156/186, 255/285, 256/286",⎯,4,,
Ve450/MDE,Capstone Design,"Ve216, Ve280, Ve311",Ve496,4,,
Ve496,Technical Communication,Ve300,Ve450,2,,
Core Elective
Upper Level Technical Elective
Flexible Technical Elective
General Elective
Required by MoE and SJTU
Vy100,Academic Writing I,⎯,⎯,4,,
Vy200,Academic Writing II,Vy100,⎯,4,,
TH009,Circumstance and Policy 16,⎯,⎯,0,,
TH009,Circumstance and Policy 26,⎯,⎯,0,,
TH009,Circumstance and Policy 36,⎯,⎯,0,,
TH009,Circumstance and Policy 46,⎯,⎯,0,,
TH021,Modern Chinese History6,⎯,⎯,2,,
TH000,Morals and Ethics and Law6,⎯,⎯,2,,
TH004,Military Theory6,⎯,⎯,1,,
TH007,Marxism Basic Theory6,⎯,⎯,2,,
TH012,Mao Zedong's Thoughts6,⎯,⎯,3,,
PE001,Physical Education I6,⎯,⎯,1,,
PE002,Physical Education II6,⎯,⎯,1,,
PE003,Physical Education III6,⎯,⎯,1,,
PE004,Physical Education IV6,⎯,⎯,1,,
XP000,General Education Practice6,⎯,⎯,0,,
