VB116,性别生物学,Biology of Sex,3,45,,,Intellectual Breadth,Natural Sciences,,,William Fink (UM),SU2014,
VB172,生物学导论,Intro to Biology,2,30,,,Intellectual Breadth,Natural Sciences,,,Margit Burmeister(UM),,
VC130,大学化学,Chemistry ,3.5,52.5,,,,,,,,Offered before 2007,
VC131,大学化学实验,Chemistry Lab,1.5,22.5,,,,,,,,Offered before 2007,
VC210,大学化学,Chemistry ,4,60,,,Engineering Foundation,,,,Thomas Hamade ,,
VC211,大学化学实验,Chemistry Lab,1,6,15,Vc210,Engineering Foundation,,,,Thomas Hamade ,,
VC230,强化化学,Honors Chemistry,4,60,,,,,,,,no longer offered,
VE203,离散数学,Discrete Mathematics,4,60,,VV116/156/186,Engineering Foundation,,,,Horst Hohberger,,
VE215,电路设计导论,Intro to Circuits,4,60,10,"VV116/156/186, Vg101, accompanied or preceded by Vp 240/260",Program Subject,,,,Sung-Liang Chen  ,,
VE216,信号与系统处理,Intro to Signals and Systems,4,60,9,Ve215 and preceded or accompanied by Vv216/256/Vv286,Program Subject,,,,Yong Long,,
VE230,电磁学（1）,Electromagnetics I,4,60,,"Vv215/255/285, Vp240/260, Ve215",Program Subject,,,,Sung-Liang Chen,,
VE270,逻辑设计导论,Introduction to Logic Design,4,45,33,Vg101,Program Subject,,,,Gang Zheng,,
VE280,程序设计与数据结构,Programming & Elem. Data Structures,4,60,,"VV116/156/186,and Vg101",Program Subject,,,,Weikang Qian,,
VE281,数据结构与算法,Data Structures and Algorithms,4,60,,Ve203 and Ve280,Core Elective,,,,Weikang Qian,FTE for ME,
VE300,科技写作与交流,Tech Comm,1,15,,Vg100,Program Subject,,,,"Irene Wei,Nick Welch-Bolen, Ryan Thorpe ",,
VE301,工程概率方法,Probabilistic Methods in Engineering ,4,60,,,Advanced Mathematics,,,,Horst Hohberger,only one (either Ve301 or Ve401) may be counted towards graduation as Advanced Math credits or Flexible Technical Elective credits,
VE306,信号与系统（2）,Signals and Systems II,4,60,,,Flexible Tech. Elective,,,,Dianguang Ma,no longer offered,
VE311,电子电路,Electronic Circuits,4,60,16,Ve216,Program Subject,,,,Mario Alberto Garcia Ramirez ,,
VE312,数字集成电路,Digital Integration Circuits ,4,60,10,Ve216,Core Elective,,,,Yaping Dan,,
VE320,半导体器件导论,Intro to Semiconductor Devices,4,60,,"Ve215, Vp240/260",Program Subject,,,,Yaping Dan,,
VE330,电磁学（2）,Electromagnetics II,4,60,,Ve230,Core Elective,,,,,,
VE334,光学原理,Principles of Optics,4,60,,Vp240/260,Core Elective,,,,Jigang Wu,,
VE353,通信系统导论,Introduction to Communications Systems,4,60,,Ve216,Core Elective,,,,Mingyan Liu,no longer offered,
VE370,计算机组成件导论,Intro to Computer Organization,4,60,,Ve270 and Ve280,Program Subject,,,,Gang Zheng,,
VE373,基于微处理器的系统设计,Design of Microprocessor Based Systems,4,60,33,Ve270 and Ve370 and Junior Standing,Core Elective,,,,Gang Zheng,,
VE401,工程概率方法,Probabilistic Methods in Eng.,4,60,,Vv216/256/286 ,Program Subject,,,,Horst Hohberger,,
VE411,微波电路 I ,Microwave Circuits I ,4,60,,Ve311 or Ve330,MDE Course,,,,,,
VE413,单片集成放大器电路设计,Monolithic Amplifier Circuits,4,60,Y？,Ve311 and Ve320,MDE Course,,,,Chang-Ching Tu ,,
VE420,智能器件物理原理,Physical Principles Underlying Smart Devices,4,60,,Ve320 ,Upper Level Tech. Elective,,,,Qianli Chen,,
VE427,集成电路设计（1）,VLSI Design I ,4,60,,"Ve270, Ve312, and Ve320",MDE Course,,,,,,
VE434,光子学导论,Principles of Photonics,4,60,Y,Ve230 or Ve334,Upper Level Tech. Elective,,,,Tian Yang,,
VE438,激光与光学实验,Advanced Lasers and Optics Laboratory ,4,26,22,Vp240,Upper Level Tech. Elective,,,,Wenjie Wan,,
VE450,系统设计与实现,Major Design Experience(MDE),4,60,Y,"Ve216, Ve280, Ve311 and senior standing",Program Subject,,Practicum for Entrepreneurship,,"Chengbin Ma,Mian Li,Yunlong Guo",,
VE451,数字信号处理与分析,Digital Signal Processing and Analysis,4,60,Y,Ve216,Core Elective,,,,"Chengbin Ma,Mian Li,Yunlong Guo",,
VE452,数字信号处理设计,Digital Signal Processing Design Laboratory,4,60,,Ve280 and Ve216,MDE Course,,,,,,
VE455,数字通信信号与系统,Digital Communication Signals & Systems,4,60,,Ve216 and Ve401,Core Elective,,,,Xudong Wang,,
VE458,生物医学仪器与设计,Biomedical Instrumentation and Design,4,60,,Ve215,Flexible Tech. Elective,,,,Jiajia Luo,,
VE460,控制系统分析与设计,Control Systems Analysis and Design,3,45,,Ve216,Core Elective,,,,Jun Zhang,,
VE461,嵌入式控制系统,Embedded Control Systems,4,60,,Ve216 or Ve373,Upper Level Tech. Elective,,,,,,
VE475,密码学导论,Introduction to Cryptography,4,60,,Ve203 and Ve280,Upper Level Tech. Elective,,,,Manuel Charlemagne ,,
VE477,算法导论,Introduction to Algorithms,4,60,,Ve281,Upper Level Tech. Elective,,,,Manuel Charlemagne ,,
