1,1,Aerospace,AE285,Aerospace Engineering Seminar,1,,VE300,,,1,NULL,NULL
2,2,Aerospace ,AE215,Introduction to Solid Mechanics & Aerospace Structures,4,,VM211,,,4,NULL,200
3,3,Aerospace,AERO225,Intro to Gas Dynamics,4,,VM320,,,3,NULL,300
4,4,Aerospace,AE305,Introduction to Instrumentation and Measurement,4,,VM395,,,4,NULL,300
5,5,Aerospace,AERO347+348,Space Flight Mechanics/ Aircraft  Dynamics and Control,3+3,,VM360,,,4,NULL,300
6,6,Aerospace,AE405,Advanced Instrumentation and Measurement,4,,VM495,,,4,NULL,400
7,7,Aerospace,AE315,Aircraft and Spacecraft Structures,4,,VM311,,,3,NULL,NULL
8,8,Aerospace Engineering,AE201,Introduction to Aerospace Engineering,3,,NULL,,General Elective,3,NULL,NULL
9,9,Aerospace Engineering,AE205,Introduction to Aerospace Engineering Systems,3,,,,General Elective,3,NULL,NULL
10,10,Aerospace Engineering,AE335,Aerospace Propulsion,4,,,,Flexible Technical Elective,4,NULL,300
11,11,Aerospace Engineering,AE423,Computational Methods for Aerospace Engineering,3,,,Not transferable to Advanced Math after 2018/01/20  ,,3,,400
12,12,Aerospace Engineering,AE481,Aircraft Design,4,,,,Flexible Technical Elective,4,NULL,400
13,13,Aerospace Engineering,AE490,Directed Study,,,,,General Elective,,NULL,NULL
14,14,Aerospace Engineering,AE325,Aerodynamics,4,,VM320,"It will not be reevaluated for VM320 after May, 2018.",,3,NULL,NULL
15,15,Aerospace Engineering,AE590,Directed Study,,,,,General Elective,,NULL,NULL
16,16,Aerospace Engineering,AE225,Introduction to Gas Dynamics,4,,,Not Transferable to VM320 after 2015.12.23,General Elective,4,NULL,200
17,17,Aerospace Engineering,AE390+AE490,Directed Study,,,,Not transferable to VM350,,,NULL,NULL
 ,,,,,,,,,,,,
18,1,Biomedical Engineering,BIOMEDE221,Biophysical Chemistry and Thermodynamics,4,,,,General Elective,4,NULL,NULL
19,2,Biomedical Engineering,BIOMEDE231,Introduction to Biomechanics,4,,,,General Elective,4,NULL,NULL
20,3,Biomedical Engineering,BIOMEDE241,Introductory Biomedical Engineering Laboratory,4,,,,General Elective,4,NULL,NULL
21,4,Biomedical Engineering,BIOMEDE418,Quantitative Cell Biology,3,,,,Flexible Technical Elective,3,NULL,400
22,5,Biomedical Engineering,BIOMEDE419,Quantitative Physiology,4,,,,Flexible Technical Elective,4,NULL,400
23,6,Biomedical Engineering,BIOMEDE211,Circuits and Systems for Biomedical Engineers,,,VE215,,,4,NULL,200
24,7,Biomedical Engineering,BIOMEDE332,Introduction to Biosolids Mechanics,4,,,,Flexible Technical Elective,4,NULL,300
25,8,Biomedical Engineering,BIOMEDE350,Introduction to Biomedical Engineering Design,3,,,,Flexible Technical Elective,3,NULL,300
26,9,Biomedical Engineering,BIOMEDE450,Biomedical Design,4,,,,Flexible Technical Elective,4,NULL,400
27,10,Biomedical Engineering,BIOMEDE458,Biomedical Instrumentation & Design,,,VM495,,,4,NULL,400
,,,,,,,,,,,,
28,1,Computer Science and Engineering,EECS441,Mobile App Development for Entrepreneurs,4,,,,Flexible Tech. Elective,4,ECE,400
29,2,Computer Science,CMSC426,Image Processing,3,,,,Flexible Tech. Elective,3,ECE,400
,,,,,,,,,,,,
30,1,Chemical Engineering,CHE330,Chemical & Engineering Thermodynamics,4,,,,Flexible Technical Elective,4,NULL,300
31,2,Chemical Engineering,CHE344,Reaction Engineering and Design,4,,,,Flexible Technical Elective,4,NULL,300
32,3,Chemical Engineering,CHE330,Chemical & Engineering Thermodynamics,,,VM235,,,3,NULL,200
33,4,Chemical Engineering,CHE341,Fluid Mechanics,4,,VM320,,,3,NULL,300
34,5,Chemical Engineering,CHE342,Mass & Heat Transfer,4,,VM335,,,3,NULL,300
35,6,Chemical Engineering,CHE360,Chemical Engineering Laboratory I,4,,VM395,,,4,NULL,300
36,7,Chemical Engineering,CHE360+460,CHE Lab I & II,,,VE496,, ,2,NULL,NULL
37,8,Chemical Engineering,CHE460,Chemical Engineering Laboratory II,4,,VM495,,,4,NULL,NULL
38,9,Chemical Engineering,CHE466,Process Control and Dynamics,,,VM360,,,4,NULL,NULL
39,10,Chemical Engineering,CHE230+330,Material and Energy Blances+Thermodynamics,,,VM235,,,3,NULL,NULL
40,11,Chemical Engineering,CHE485,Chemical Engineering Process Economics,1,,,,Flexible Technical Elective,1,NULL,300
41,12,Chemical Engineering,CHE343,Separation Process,4,,,,Flexible Technical Elective,4,NULL,300
42,13,Chemical Engineering,CHE360 +CHE460  ,Chemical Engineering Laboratory I+Chemical Engineering Laboratory II,4+4,,,,Flexible Tech. Elective,4,ECE,400
,,,,,,,,,,,,
43,1,Climate and Space Sciences and Engineering,AOSS320,Earth System Evolution,,,,,Flexible Technical Elective,,NULL,300
44,2,Climate and Space Sciences and Engineering,AOSS321,Earth System Dynamics,,,,,Flexible Technical Elective,,NULL,300
45,3,Climate and Space Sciences and Engineering,AOSS323,Earth System Analysis,4,,,,Flexible Technical Elective,4,NULL,300
46,4,Climate and Space Sciences and Engineering,AOSS370,Solar-Terrestrial Relations,4,,,,Flexible Technical Elective,4,NULL,300
47,5,Climate and Space Sciences and Engineering,AOSS410,Earth System Modeling,4,,,,Flexible Technical Elective,4,NULL,400
48,6,Climate and Space Sciences and Engineering,AOSS411,"Clouds, Precipitation, and Aerosols",3,,,,Flexible Technical Elective,3,NULL,400
49,7,Climate and Space Sciences and Engineering,AOSS421,Introduction to Physical Oceanography,3,,,,Flexible Technical Elective,3,NULL,400
50,8,Climate and Space Sciences and Engineering,AOSS473,Climate Physics,3,,,,Flexible Technical Elective,3,NULL,400
51,9,Climate and Space Sciences and Engineering,AOSS474,Ice Sheets and Climate,3,,,,Flexible Technical Elective,3,NULL,400
52,10,Climate and Space Sciences and Engineering,AOSS475,Earth System Interactions,4,,,,Flexible Technical Elective,4,NULL,400
53,11,Climate and Space Sciences and Engineering,AOSS401,Geophysical Fluid Dynamics,4,,,,Flexible Technical Elective,4,NULL,300
54,12,Climate and Space Sciences and Engineering,AOSS350,Atmospheric Thermodynamics,3,,,,Flexible Technical Elective,3,NULL,300
,,,,,,,,,,,,
55,1,Civil and Environmental Engineering,CEE365,Environmental Engineering Principles,4,,,,Flexible Technical Elective,4,NULL,300
56,2,Civil and Environmental Engineering,CEE402,Professional Issues and Design,4,,,,,4,NULL,400
57,3,Civil and Environmental Engineering,CEE428,Introduction to groundwater hydrology,3,,,,Flexible Technical Elective,3,NULL,400
58,4,Civil and Environmental Engineering,CEE482,Environmental Microbiology,3,,,,Flexible Technical Elective,3,NULL,400
59,5,Civil and Environmental Engineering,CEE522,Sediment Transport,3,,,,Flexible Technical Elective,3,NULL,400
60,6,Civil and Environmental Engineering,CEE465,Environmental Process Engineering,3,,,,Flexible Technical Elective,3,NULL,400
61,7,Civil and Environmental Engineering,CEE481,Aquatic Chemistry,3,,,,Flexible Technical Elective,3,NULL,400
62,8,Civil and Environmental Engineering,CEE526,Design of Hydraulic System,3,,VM421,,,3,NULL,NULL
63,9,Civil and Environmental Engineering,CEE312,Structural Engineering,4,,,,Flexible Technical Elective,4,NULL,300
64,10,Civil and Environmental Engineering,CEE345,Geotechnical Engineering,4,,,,Flexible Technical Elective,4,NULL,300
65,11,Civil and Environmental Engineering,CEE351,Civil Engineering Materials,4,,,,Flexible Technical Elective,4,NULL,300
66,12,Civil and Environmental Engineering,CEE421,Hydrology and Floodplain Hydraulics,4,,,,Flexible Technical Elective,4,NULL,400
67,13,Civil and Environmental Engineering,CEE211,Statics and Dynamics,4,,VM240,,,4,NULL,NULL
68,14,Civil and Environmental Engineering,CEE212,Solid and Structural Mechanics,,,VM211,,,4,NULL,NULL
69,15,Civil and Environmental Engineering,CEE230,Thermodynamics and the Environment,3,,VM235,,,3,NULL,NULL
70,16,Civil and Environmental Engineering,CEE270,Statistical Methods for Data Analysis & Uncertainty Modeling,3,,VE401,,,4,NULL,NULL
71,17,Civil and Environmental Engineering,CEE312+345+351+366+421,CEE312+345+351+366+421,,,VM495,,,4,NULL,NULL
72,18,Civil and Environmental Engineering,CEE325,Fluid Mechanics,4,,VM320,,,3,NULL,NULL
73,19,Civil and Environmental Engineering,CEE351+ME395,CEE351+ME395,,,,Not Transferable to VM382 after 2015.12.23,,,NULL,NULL
